Region,Month,Year,Humidity,Temperature,Population Density,Dengue_Cases
2,4,2016,7.4300807955,25.73,480.5546594008,0.586707
2,5,2016,16.1187072716,27.06,480.555980813,1.267286
2,6,2016,41.202610317,27.76,480.5588350607,5.256891
2,7,2016,7.3927905531,27.48,480.5706749053,9.974011
2,8,2016,31.4201367309,26.61,480.593138894,4.928335
2,9,2016,17.4425108763,26.34,480.6042387477,7.69759
2,10,2016,15.5407085146,24.85,480.6215756621,8.190423
2,11,2016,10.6183965196,21.84,480.6400225607,2.792723
2,12,2016,21.2771908017,18.78,480.6463124774,1.149945
3,1,2008,24.5649471722,22.4,438.1860381862,5.836376
3,2,2008,20.5562461156,24.14,438.1973053213,2.581158
3,3,2008,20.4940957116,29.07,438.2022882518,2.811325
3,4,2008,18.8471100062,31.91,438.2077155202,16.054144
3,5,2008,6.187072716,33.41,438.2387080762,20.599942
3,6,2008,0.9415786203,33.18,438.278476304,7.759914
3,7,2008,4.5338719702,31.21,438.2934568329,12.478337
3,8,2008,2.296457427,30.39,438.3175462866,10.521918
3,9,2008,2.2902423866,30.47,438.3378588696,17.640652
3,10,2008,16.124922312,29.97,438.3719141823,3.96216
3,11,2008,22.2094468614,27.31,438.3795631399,0.830245
3,12,2008,24.8011187073,24.49,438.3811659294,1.578288
3,1,2009,22.5699192045,24.93,438.3842128175,9.529202
3,2,2009,23.1106277191,26.58,438.4026089603,12.295744
3,3,2009,19.2324425109,29.77,438.4263459179,5.70296
3,4,2009,13.2473586078,31.78,438.4373554932,4.238796
3,5,2009,15.3045369795,33.73,438.445538497,8.129752
3,6,2009,0.7364822871,32.91,438.4612329989,14.180552
3,7,2009,0.0839030454,30.92,438.488608582,2.224559
3,8,2009,6.8893722809,30.73,438.4929030974,0.444912
3,9,2009,4.1112492231,29.8,438.4937620009,1.04352
3,10,2009,17.8775637042,29.12,438.4957765182,7.037696
3,11,2009,24.7576134245,26.31,438.509362804,8.137841
3,12,2009,21.6811684276,24.04,438.5250729217,3.858599
3,1,2010,22.0602858919,23.44,438.5325219545,2.284333
3,2,2010,24.2604101927,25.03,438.5369318638,5.85808
3,3,2010,18.6482287135,27.83,438.5482408986,7.298722
3,4,2010,16.218147918,31.39,438.5623310955,1.727179
3,5,2010,4.4095711622,32.91,438.5656654179,0.596951
3,6,2010,2.6507147296,33,438.5668178329,0.85961
3,7,2010,4.3039154755,31.34,438.5684773117,4.218454
3,8,2010,0.2703542573,29.98,438.5766210453,5.332763
3,9,2010,7.1131137352,29.85,438.5869159545,3.072308
3,10,2010,10.9540087011,29.04,438.5928470511,1.520235
3,11,2010,23.9185829708,26.08,438.5957818677,4.130902
3,12,2010,24.9813548788,23.65,438.603756582,4.250292
3,1,2011,24.6892479801,22.5,438.6119617789,1.941779
3,2,2011,19.2013673089,24.73,438.615710387,0.939571
3,3,2011,16.9390926041,28.21,438.6175242306,0.767316
3,4,2011,9.0957116221,32.02,438.6190055356,3.609517
3,5,2011,7.8154133002,32.64,438.6259737152,5.40253
3,6,2011,3.7072715973,32.07,438.6364033098,3.648665
3,7,2011,2.1845866998,30.36,438.6434470646,1.518972
3,8,2011,6.1684275948,30.09,438.646379443,3.664325
3,9,2011,8.7165941579,30.04,438.6534534294,2.341097
3,10,2011,18.4120571784,29.2,438.6579729217,5.488658
3,11,2011,24.1423244251,26.36,438.6685687866,2.505521
3,12,2011,18.4493474208,23.63,438.6734056997,1.315399
3,1,2012,24.1361093847,22,438.67594508,8.240433
3,2,2012,22.7936606588,22.83,438.6918532518,12.99986
3,3,2012,19.4437538844,26.68,438.7169495067,9.71909
3,4,2012,12.6382846489,30.01,438.7357122287,2.849495
3,5,2012,2.8993163456,33.32,438.7412131843,6.315098
3,6,2012,3.9123679304,33.25,438.7534044932,3.519512
3,7,2012,4.7078931013,31.44,438.7601989179,9.557362
3,8,2012,6.7277812306,30.68,438.7786494237,2.926509
3,9,2012,5.7085146053,30.12,438.7842990549,6.715568
3,10,2012,10.6370416408,30.67,438.7972634719,26.153747
3,11,2012,22.65692977,27.52,438.847753331,37.605638
3,12,2012,24.9751398384,23.82,438.9203510877,21.894907
3,1,2013,24.1796146675,22.28,438.962619248,6.090374
3,2,2013,23.9123679304,23.69,438.9743767267,22.952528
